well,file,sample
A1,188-555-1,188-555-1
A2,194-555-1,194-555-1
A3,194-555-2,194-555-2
A4,194-555-3,194-555-3
A5,188-373-1,188-373-1
A6,216-373-1,216-373-1
A7,216-373-2,216-373-2
A8,216-373-3,216-373-3
A9,188-555-2,188-555-2
A10,231-555-1,231-555-1
A11,231-555-2,231-555-2
A12,231-555-3,231-555-3
B1,blank1,NA-blank-1
B2,194-373-1,194-373-1
B3,194-373-2,194-373-2
B4,194-373-3,194-373-3
B5,yH156-1,NA-156-1
B6,216-555-1,216-555-1
B7,216-555-2,216-555-2
B8,216-555-3,216-555-3
B9,yH373-1,NA-373-1
B10,231-373-1,231-373-1
B11,231-373-2,231-373-2
B12,231-373-3,231-373-3
C1,188-373-2,188-373-2
C2,212-555-1,212-555-1
C3,212-555-2,212-555-2
C4,212-555-3,212-555-3
C5,188-555-3,188-555-3
C6,219-373-1,219-373-1
C7,219-373-2,219-373-2
C8,219-373-3,219-373-3
C9,188-373-3,188-373-3
C10,233-555-1,233-555-1
C11,233-555-2,233-555-2
C12,233-555-3,233-555-3
D1,yH555-1,NA-555-1
D2,212-373-1,212-373-1
D3,212-373-2,212-373-2
D4,212-373-3,212-373-3
D5,blank2,NA-blank-2
D6,219-555-1,219-555-1
D7,219-555-2,219-555-2
D8,219-555-3,219-555-3
D9,yH156-2,NA-156-2
D10,233-373-1,233-373-1
D11,233-373-2,233-373-2
D12,233-373-3,233-373-3
E1,188-555-4,188-555-4
E2,210-555-1,210-555-1
E3,210-555-2,210-555-2
E4,210-555-3,210-555-3
E5,188-373-4,188-373-4
E6,222-373-1,222-373-1
E7,222-373-2,222-373-2
E8,222-373-3,222-373-3
E9,188-555-5,188-555-5
E10,241-555-1,241-555-1
E11,241-555-2,241-555-2
E12,241-555-3,241-555-3
F1,yH373-2,NA-373-2
F2,210-373-1,210-373-1
F3,210-373-2,210-373-2
F4,210-373-3,210-373-3
F5,yH555-2,NA-555-2
F6,222-555-1,222-555-1
F7,222-555-2,222-555-2
F8,222-555-3,222-555-3
F9,blank3,NA-blank-3
F10,241-373-1,241-373-1
F11,241-373-2,241-373-2
F12,241-373-3,241-373-3
G1,188-373-5,188-373-5
G2,217-555-1,217-555-1
G3,217-555-2,217-555-2
G4,217-555-3,217-555-3
G5,188-555-6,188-555-6
G6,227-373-1,227-373-1
G7,227-373-2,227-373-2
G8,227-373-3,227-373-3
G9,188-373-6,188-373-6
G10,229-555-1,229-555-1
G11,229-555-2,229-555-2
G12,229-555-3,229-555-3
H1,yH156-3,NA-156-3
H2,217-373-1,217-373-1
H3,217-373-2,217-373-2
H4,217-373-3,217-373-3
H5,yH373-3,NA-373-3
H6,227-555-1,227-555-1
H7,227-555-2,227-555-2
H8,227-555-3,227-555-3
H9,yH555-3,NA-555-3
H10,229-373-1,229-373-1
H11,229-373-2,229-373-2
H12,229-373-3,229-373-3