file,sample,row,col
A2-1405,B18,A,2
A2-1455,B18,A,2
A2-1535,B18,A,2
A2-1600,B18,A,2
A2-1615,B18,A,2
A1,B18,A,1
A2,B18,A,2
A3,B18,A,3
A4,B18,A,4
A5,B18,A,5
A6,B18,A,6
A7,B18,A,7
A8,B18,A,8
A9,B18,A,9
A10,B18,A,10
A11,B18,A,11
A12,B18,A,12
B1,neg,B,1
B2,B18,B,2
B3,B18,B,3
B4,B18,B,4
B5,yH156,B,5
B6,B18,B,6
B7,B18,B,7
B8,B18,B,8
B9,yH296,B,9
B10,B18,B,10
B11,B18,B,11
B12,B18,B,12
C1,B18,C,1
C2,B18,C,2
C3,B18,C,3
C4,B18,C,4
C5,B18,C,5
C6,B18,C,6
C7,B18,C,7
C8,B18,C,8
C9,B18,C,9
C10,B18,C,10
C11,B18,C,11
C12,B18,C,12
D1,yH295,D,1
D2,B18,D,2
D3,B18,D,3
D4,B18,D,4
D5,neg,D,5
D6,B18,D,6
D7,B18,D,7
D8,B18,D,8
D9,yH156,D,9
D10,B18,D,10
D11,B18,D,11
D12,B18,D,12
E1,B18,E,1
E2,B18,E,2
E3,B18,E,3
E4,B18,E,4
E5,B18,E,5
E6,B18,E,6
E7,B18,E,7
E8,B18,E,8
E9,B18,E,9
E10,B18,E,10
E11,B18,E,11
E12,B18,E,12
F1,yH296,F,1
F2,B18,F,2
F3,B18,F,3
F4,B18,F,4
F5,yH295,F,5
F6,B18,F,6
F7,B18,F,7
F8,B18,F,8
F9,neg,F,9
F10,B18,F,10
F11,B18,F,11
F12,B18,F,12
G1,B18,G,1
G2,B18,G,2
G3,B18,G,3
G4,B18,G,4
G5,B18,G,5
G6,B18,G,6
G7,B18,G,7
G8,B18,G,8
G9,B18,G,9
G10,yH372,G,10
G11,yH372,G,11
G12,yH372,G,12
H1,yH156,H,1
H2,B18,H,2
H3,B18,H,3
H4,B18,H,4
H5,yH296,H,5
H6,B18,H,6
H7,B18,H,7
H8,B18,H,8
H9,yH295,H,9
H10,yH373,H,10
H11,yH373,H,11
H12,yH373,H,12