date	species	h2o2	treatTime	gene	log2FC
2022.01a	S. cerevisiae	0.2 mM	10	CTT1	2.666
2022.01a	S. cerevisiae	0.5 mM	10	CTT1	3.668
2022.01a	S. cerevisiae	5 mM	10	CTT1	-1.262
2022.01a	S. cerevisiae	0.2 mM	10	GRE2	6.034
2022.01a	S. cerevisiae	0.5 mM	10	GRE2	3.849
2022.01a	S. cerevisiae	5 mM	10	GRE2	-0.128
2022.01a	S. cerevisiae	0.2 mM	10	GRX1	0.549
2022.01a	S. cerevisiae	0.5 mM	10	GRX1	0.707
2022.01a	S. cerevisiae	5 mM	10	GRX1	-0.075
2022.01a	S. cerevisiae	0.2 mM	40	CTT1	0.277
2022.01a	S. cerevisiae	0.5 mM	40	CTT1	5.008
2022.01a	S. cerevisiae	0.2 mM	40	GRE2	2.188
2022.01a	S. cerevisiae	0.5 mM	40	GRE2	5.151
2022.01a	S. cerevisiae	0.2 mM	40	GRX1	1.346
2022.01a	S. cerevisiae	0.5 mM	40	GRX1	2.887
2022.01a	S. cerevisiae	0.2 mM	120	CTT1	-0.307
2022.01a	S. cerevisiae	0.5 mM	120	CTT1	1.375
2022.01a	S. cerevisiae	0.2 mM	120	GRE2	-1.122
2022.01a	S. cerevisiae	0.5 mM	120	GRE2	3.582
2022.01a	S. cerevisiae	0.2 mM	120	GRX1	0.191
2022.01a	S. cerevisiae	0.5 mM	120	GRX1	2.974
2022.01a	S. cerevisiae	1 mM	10	CTT1	-1.135
2022.01a	S. cerevisiae	1 mM	10	GRE2	-0.234
2022.01a	S. cerevisiae	0.2 mM	20	CTT1	2.373
2022.01a	S. cerevisiae	0.5 mM	20	CTT1	5.468
2022.01a	S. cerevisiae	1 mM	20	CTT1	-1.044
2022.01a	S. cerevisiae	5 mM	20	CTT1	0.635
2022.01a	S. cerevisiae	0.2 mM	20	GRE2	5.346
2022.01a	S. cerevisiae	0.5 mM	20	GRE2	4.536
2022.01a	S. cerevisiae	1 mM	20	GRE2	-0.032
2022.01a	S. cerevisiae	5 mM	20	GRE2	0.445
2022.01a	S. cerevisiae	1 mM	40	CTT1	1.403
2022.01a	S. cerevisiae	1 mM	40	GRE2	0.844
2022.01a	S. cerevisiae	1 mM	120	CTT1	2.449
2022.01a	S. cerevisiae	1 mM	120	GRE2	1.510
2022.01b	S. cerevisiae	0.2 mM	10	GRE2	5.624
2022.01b	S. cerevisiae	0.2 mM	20	GRE2	5.243
2022.01b	S. cerevisiae	0.2 mM	40	GRE2	0.799
2022.01b	S. cerevisiae	0.2 mM	120	GRE2	-1.043
2021.12a	C. glabrata	5 mM	10	CTA1	6.227
2021.12a	C. glabrata	10 mM	10	CTA1	5.439
2021.12a	C. glabrata	100 mM	10	CTA1	2.003
2021.12a	C. glabrata	5 mM	10	GRE2	5.158
2021.12a	C. glabrata	10 mM	10	GRE2	4.723
2021.12a	C. glabrata	100 mM	10	GRE2	1.763
2021.12a	C. glabrata	100 mM	20	CTA1	2.163
2021.12a	C. glabrata	100 mM	20	GRE2	2.027
2021.12a	C. glabrata	10 mM	40	CTA1	5.341
2021.12a	C. glabrata	5 mM	40	GRE2	4.196
2021.12a	C. glabrata	10 mM	40	GRE2	4.924
2021.12a	C. glabrata	5 mM	80	CTA1	4.743
2021.12a	C. glabrata	10 mM	80	CTA1	5.771
2021.12a	C. glabrata	5 mM	80	GRE2	1.897
2021.12a	C. glabrata	10 mM	80	GRE2	4.22
2021.12a	C. glabrata	5 mM	120	CTA1	1.506
2021.12a	C. glabrata	10 mM	120	CTA1	3.562
2021.12a	C. glabrata	5 mM	120	GRE2	1.05
2021.12a	C. glabrata	10 mM	120	GRE2	3.351
2021.11a	C. glabrata	5 mM	40	CTA1	5.337
2021.11a	C. glabrata	5 mM	40	TRX2	3.423
2022.04a	C. glabrata	1.5 mM	10	CTA1	5.576
2022.04a	C. glabrata	1.5 mM	10	GRE2	5.059
2022.04a	C. glabrata	50 mM	10	CTA1	0.33
2022.04a	C. glabrata	50 mM	10	GRE2	0.846
2022.04a	C. glabrata	1.5mM	20	CTA1	4.593
2022.04a	C. glabrata	1.5 mM	20	GRE2	4.717
2022.04a	C. glabrata	50 mM	20	CTA1	0.465
2022.04a	C. glabrata	50 mM	20	GRE2	0.98
2022.04a	C. glabrata	1.5 mM	40	CTA1	3.23
2022.04a	C. glabrata	1.5 mM	40	GRE2	2.026
2022.04a	C. glabrata	1.5 mM	80	CTA1	-0.219
2022.04a	C. glabrata	1.5 mM	80	GRE2	0.542
2022.04a	C. glabrata	1.5 mM	120	CTA1	-2.518
2022.04a	C. glabrata	1.5 mM	120	GRE2	0.194
2022.05a	C. glabrata	1.5 mM	10	CTA1	5.473
2022.05a	C. glabrata	1.5 mM	10	GRE2	4.92
2022.05a	C. glabrata	50 mM	10	CTA1	1.992
2022.05a	C. glabrata	50 mM	10	GRE2	2.256
2022.05a	C. glabrata	1.5mM	20	CTA1	4.662
2022.05a	C. glabrata	1.5 mM	20	GRE2	5.369
2022.05a	C. glabrata	50 mM	20	CTA1	2.754
2022.05a	C. glabrata	50 mM	20	GRE2	3.238
2022.05a	C. glabrata	1.5 mM	40	CTA1	4.328
2022.05a	C. glabrata	1.5 mM	40	GRE2	1.375
2022.05a	C. glabrata	1.5 mM	80	CTA1	-0.048
2022.05a	C. glabrata	1.5 mM	80	GRE2	-0.21
2022.05a	C. glabrata	1.5 mM	120	CTA1	0.814
2022.05a	C. glabrata	1.5 mM	120	GRE2	-0.876
for_plotting	S. cerevisiae	0.2 mM	0	CTT1	0
for_plotting	S. cerevisiae	0.2 mM	0	GRE2	0
for_plotting	S. cerevisiae	0.5 mM	0	CTT1	0
for_plotting	S. cerevisiae	0.5 mM	0	GRE2	0
for_plotting	S. cerevisiae	1 mM	0	CTT1	0
for_plotting	S. cerevisiae	1 mM	0	GRE2	0
for_plotting	C. glabrata	5 mM	0	GRE2	0
for_plotting	C. glabrata	10 mM	0	GRE2	0
for_plotting	C. glabrata	100 mM	0	GRE2	0
for_plotting	C. glabrata	5 mM	0	CTA1	0
for_plotting	C. glabrata	10 mM	0	CTA1	0
for_plotting	C. glabrata	100 mM	0	CTA1	0