Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Documents and Settings\Administrator\Desktop\BinHe\20170913_Ex009-3_batch1_estimate_PCR_cycle.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,2017-09-13 19:18:20 PM EDT,,,,,,,,,,,,,,,,,
,ï¿½Rn,,,,,,,,,,%,,,,,,,
Cycle,A1,B1,C1,D1,E1,F1,G1,H1,,Cycle,A1,B1,C1,D1,E1,F1,G1,H1
1,-142,-149,-195,-111,-141,-112,-144,-149,,1,0%,0%,0%,0%,0%,0%,0%,0%
2,142,149,195,111,141,112,144,149,,2,0%,0%,0%,0%,0%,0%,0%,0%
3,393,354,421,269,324,244,354,329,,3,1%,1%,1%,1%,1%,1%,1%,1%
4,499,519,576,409,602,419,424,642,,4,1%,1%,1%,1%,1%,1%,1%,1%
5,732,713,749,579,884,584,644,960,,5,2%,1%,2%,1%,2%,1%,1%,2%
6,972,1043,936,835,1342,802,949,1576,,6,3%,2%,2%,2%,3%,2%,2%,3%
7,1399,1526,1109,1315,2178,1145,1333,2630,,7,4%,3%,2%,3%,5%,3%,3%,5%
8,2173,2517,1586,2149,3804,1842,2163,4651,,8,6%,5%,3%,5%,8%,5%,5%,10%
9,3588,4164,2102,3563,6639,3088,3679,8020,,9,10%,9%,4%,9%,14%,8%,8%,17%
10,6142,7371,3286,6287,11729,5301,6392,14134,,10,17%,15%,7%,16%,25%,13%,15%,29%
11,10630,12868,5261,11031,20182,9336,11263,23836,,11,29%,26%,11%,27%,43%,23%,26%,49%
12,17730,22030,9018,18789,32491,16440,19480,36010,,12,48%,45%,18%,46%,70%,41%,45%,74%
13,27483,35298,15585,29530,46500,27432,31202,48450,,13,74%,72%,32%,73%,100%,68%,71%,100%
14,37082,48931,25550,40484,58128,40279,43656,58016,,14,100%,100%,52%,100%,125%,100%,100%,120%
15,45483,61160,37698,49864,67471,52113,54095,65898,,15,123%,125%,77%,123%,145%,129%,124%,136%
16,52337,70718,49031,57626,75772,61699,62817,72643,,16,141%,145%,100%,142%,163%,153%,144%,150%
17,58230,78314,57445,63946,82437,68996,69670,78495,,17,157%,160%,117%,158%,177%,171%,160%,162%
18,63663,85159,64412,69674,88995,75489,76128,83897,,18,172%,174%,131%,172%,191%,187%,174%,173%
19,69004,91130,70355,75351,95128,81138,82396,88852,,19,186%,186%,143%,186%,205%,201%,189%,183%
20,74217,97239,76054,81018,101099,86702,88614,94036,,20,200%,199%,155%,200%,217%,215%,203%,194%
21,79036,102225,80413,85957,106337,91430,93951,98216,,21,213%,209%,164%,212%,229%,227%,215%,203%
22,84007,107044,84681,90649,111511,96313,99698,102057,,22,227%,219%,173%,224%,240%,239%,228%,211%
23,89102,111504,88879,95544,116477,100665,105387,105770,,23,240%,228%,181%,236%,250%,250%,241%,218%
24,94142,116065,93021,100085,121436,105240,110575,109393,,24,254%,237%,190%,247%,261%,261%,253%,226%
25,98670,120011,96125,104283,126048,108778,115315,112034,,25,266%,245%,196%,258%,271%,270%,264%,231%
26,104263,125039,100610,109551,131271,113631,121277,115958,,26,281%,256%,205%,271%,282%,282%,278%,239%
27,109069,128842,104158,114006,135949,117310,126140,118582,,27,294%,263%,212%,282%,292%,291%,289%,245%
28,113729,132531,106913,118056,140398,121216,131181,121038,,28,307%,271%,218%,292%,302%,301%,300%,250%
29,118244,136937,110376,122474,145511,125559,136206,124155,,29,319%,280%,225%,303%,313%,312%,312%,256%
30,122963,140309,114074,126456,149939,129265,140950,126505,,30,332%,287%,233%,312%,322%,321%,323%,261%
31,127445,143904,116688,130451,153757,132380,144707,128901,,31,344%,294%,238%,322%,331%,329%,331%,266%
32,131488,147829,120256,134580,157883,136291,149468,130973,,32,355%,302%,245%,332%,340%,338%,342%,270%
33,135363,151506,123109,137949,161510,139654,153745,133174,,33,365%,310%,251%,341%,347%,347%,352%,275%
34,139114,154974,126107,140997,164825,142827,157114,135290,,34,375%,317%,257%,348%,354%,355%,360%,279%
35,142440,157440,128434,144120,167945,146107,160875,137561,,35,384%,322%,262%,356%,361%,363%,369%,284%
36,145220,160552,131454,147102,171433,149264,164014,139752,,36,392%,328%,268%,363%,369%,371%,376%,288%
37,148410,163628,134143,150610,174482,152152,167255,141814,,37,400%,334%,274%,372%,375%,378%,383%,293%
38,150694,166092,136586,153168,177107,154389,169651,143447,,38,406%,339%,279%,378%,381%,383%,389%,296%
39,153552,169235,139577,156550,180425,157377,172608,145723,,39,414%,346%,285%,387%,388%,391%,395%,301%
40,156375,172318,141960,158597,182908,159802,174685,148113,,40,422%,352%,290%,392%,393%,397%,400%,306%
